,mean_x,max_x,min_x,sd_x,mean_y,max_y,min_y,sd_y,mean_z,max_z,min_z,sd_z,act,time,time0_start,time1_finish
50,-0.18660447761194,0.239,-1.436,0.163569672844746,-0.64094776119403,-0.373,-2.892,0.244244340778797,-9.70846268656716,-9.184,-9.874,0.0691499032794347,SITTING,2019-06-13 02:13:00,2019-06-13 02:02:25,2019-06-13 02:27:41
51,-0.147200757575758,-0.086,-0.239,0.0239890944684515,-0.618465909090909,-0.517,-0.679,0.0246513092211895,-9.71778409090909,-9.701,-9.739,0.00716632736062302,SITTING,2019-06-13 02:14:00,2019-06-13 02:02:25,2019-06-13 02:27:41
52,1.19704682274247,13.953,-6.569,2.73559980867753,-0.65152508361204,5.698,-8.389,1.74527482745899,-7.81358528428093,10.333,-14.202,4.94887912283177,SITTING,2019-06-13 02:15:00,2019-06-13 02:02:25,2019-06-13 02:27:41
53,4.36178676470588,8.475,2.135,1.03671224914498,-0.947698529411765,1.015,-4.012,0.684489248026942,-8.59494117647059,-5.899,-10.218,0.635729802431305,SITTING,2019-06-13 02:16:00,2019-06-13 02:02:25,2019-06-13 02:27:41
54,6.8755756097561,6.943,6.79,0.00915500453753348,-3.01609756097561,-2.959,-3.074,0.00776557536108342,-5.94572682926829,-5.832,-5.995,0.0118020234304987,SITTING,2019-06-13 02:17:00,2019-06-13 02:02:25,2019-06-13 02:27:41
55,2.10894117647059,2.442,0.718,0.645365949190748,0.151848739495798,0.306,-0.402,0.27029502521352,-9.67272268907563,-9.625,-9.95,0.029977088530666,SITTING,2019-06-13 02:18:00,2019-06-13 02:02:25,2019-06-13 02:27:41
56,-0.236827751196172,-0.114,-0.383,0.0513431985160729,0.144028708133971,0.268,0,0.0437685031065542,9.8024019138756,9.803,9.802,0.000491461881542236,SITTING,2019-06-13 02:19:00,2019-06-13 02:02:25,2019-06-13 02:27:41
57,4.53523308270677,4.75,4.395,0.0598105452364843,-1.8099022556391,-1.656,-2.049,0.0584790644566244,-8.4965037593985,-8.341,-8.686,0.0602604981499078,SITTING,2019-06-13 02:20:00,2019-06-13 02:02:25,2019-06-13 02:27:41
58,4.53966666666667,5.909,4.405,0.197458138393712,-1.86666666666667,-1.561,-2.365,0.101498694940511,-8.47433333333333,-7.556,-8.686,0.144303473753453,SITTING,2019-06-13 02:21:00,2019-06-13 02:02:25,2019-06-13 02:27:41
59,7.34733461538461,7.652,7.134,0.10442214384571,-1.59869230769231,-1.197,-2.231,0.171855683648741,-6.20779230769231,-5.861,-6.454,0.0894310800970115,SITTING,2019-06-13 02:22:00,2019-06-13 02:02:25,2019-06-13 02:27:41
