"","X.1","X","mean_x","max_x","min_x","sd_x","mean_y","max_y","min_y","sd_y","mean_z","max_z","min_z","sd_z","act","time","time0_start","time1_finish"
"68",68,67,0.541076923076923,6.847,-11.08,2.7199020550033,-9.75983333333333,-5.468,-19.604,2.69537531500617,2.35225641025641,9.356,-4.606,2.2431004252631,"SITTING","2019-06-13 03:51:00","2019-06-13 03:46:02","2019-06-13 04:00:56"
"69",69,68,-3.8582,-3.84,-3.917,0.0305083176659826,-1.9071052631579,-1.762,-1.992,0.105194093524447,-8.78656842105263,-8.657,-9.05,0.164351702062634,"SITTING","2019-06-13 03:52:00","2019-06-13 03:46:02","2019-06-13 04:00:56"
"70",70,69,-2.967,-2.882,-3.045,0.0575528742404176,-3.65228571428571,-3.581,-3.725,0.0564585815316984,-9.05257142857143,-8.964,-9.155,0.0663723264191158,"SITTING","2019-06-13 03:53:00","2019-06-13 03:46:02","2019-06-13 04:00:56"
"71",71,70,-3.73478125,-1,-4.089,0.519786105784032,0.31146875,71,-1.992,12.8995173452702,1.68296875,322.625,-8.945,58.5652603106744,"SITTING","2019-06-13 03:54:00","2019-06-13 03:46:02","2019-06-13 04:00:56"
"72",72,71,-3.945,-3.945,-3.945,0,-1.963,-1.963,-1.963,0,-8.83,-8.83,-8.83,0,"SITTING","2019-06-13 03:55:00","2019-06-13 03:46:02","2019-06-13 04:00:56"
"73",73,72,-7.31612653061224,-7.144,-7.527,0.0539985229591187,2.66162040816327,2.815,2.432,0.0621288883059065,6.19668571428572,6.407,5.976,0.0795842887534558,"SITTING","2019-06-13 03:56:00","2019-06-13 03:46:02","2019-06-13 04:00:56"
"74",74,73,-2.85328358208955,-2.174,-3.016,0.0922619866418694,-3.64196517412935,-3.17,-4.127,0.248533928832855,-9.07253731343284,-8.81,-9.395,0.106933109235382,"SITTING","2019-06-13 03:57:00","2019-06-13 03:46:02","2019-06-13 04:00:56"
"75",75,74,-2.96069189189189,-2.815,-3.16,0.0524853725915631,-3.50714594594595,-3.371,-3.648,0.0557910045859945,-9.09462702702702,-8.81,-9.299,0.0791894146714362,"SITTING","2019-06-13 03:58:00","2019-06-13 03:46:02","2019-06-13 04:00:56"
"76",76,75,6.81662926829268,8.437,2.882,0.359002046968263,-4.40688780487805,-3.294,-6.33,0.204654424406074,-6.03283414634146,-2.26,-7.518,0.336753519865847,"SITTING","2019-06-13 03:59:00","2019-06-13 03:46:02","2019-06-13 04:00:56"
"77",77,76,-0.271771844660194,0.153,-1.264,0.0925841022200772,-0.0422912621359223,0.038,-0.651,0.0589589573770145,9.83631553398058,13.283,9.76,0.342117498645523,"SITTING","2019-06-13 04:00:00","2019-06-13 03:46:02","2019-06-13 04:00:56"
"78",78,77,2.53258293838863,13.446,-8.504,4.73790955475523,-0.0913364928909952,8.887,-10.228,3.48869505492145,7.22347867298578,11.186,0.005,3.34466904238886,"WALKING","2019-06-13 04:01:00","2019-06-13 04:00:58","2019-06-13 04:04:38"
